Video,Quality,Status,TimeStall,Eid,Date,Time,Category
Baur2Ypgd60,"unknown,",3,0,p8aug,08/08/2022,15:42:46,buffering
Baur2Ypgd60,"unknown,",-1,0,p8aug,08/08/2022,15:42:46,unstarted
Baur2Ypgd60,"hd2160,",1,0.029612093,p8aug,08/08/2022,15:42:47,playing
Baur2Ypgd60,"hd2160,",0,204.941,p8aug,08/08/2022,15:46:12,ended
JMbBjKnUoC4,"unknown,",-1,0,p8aug,08/08/2022,15:46:23,unstarted
JMbBjKnUoC4,"unknown,",3,0,p8aug,08/08/2022,15:46:23,buffering
JMbBjKnUoC4,"hd2160,",-1,0,p8aug,08/08/2022,15:46:23,unstarted
JMbBjKnUoC4,"hd2160,",1,0.026795093,p8aug,08/08/2022,15:46:25,playing
JMbBjKnUoC4,"hd2160,",2,366.030712,p8aug,08/08/2022,15:46:34,paused
JMbBjKnUoC4,"hd2160,",3,366.030712,p8aug,08/08/2022,15:46:34,buffering
JMbBjKnUoC4,"hd2160,",1,366.112613,p8aug,08/08/2022,15:46:35,playing
JMbBjKnUoC4,"hd2160,",2,357.3945303,p8aug,08/08/2022,15:46:35,paused
JMbBjKnUoC4,"hd2160,",3,6.713168076,p8aug,08/08/2022,15:46:36,buffering
JMbBjKnUoC4,"hd2160,",1,6.961623135,p8aug,08/08/2022,15:46:37,playing
Baur2Ypgd60,"unknown,",-1,0,2paug8,08/08/2022,16:54:34,unstarted
Baur2Ypgd60,"unknown,",3,0,2paug8,08/08/2022,16:54:34,buffering
Baur2Ypgd60,"hd2160,",-1,0,2paug8,08/08/2022,16:54:35,unstarted
Baur2Ypgd60,"hd2160,",1,0.027333042,2paug8,08/08/2022,16:54:40,playing
Baur2Ypgd60,"hd2160,",0,204.941,2paug8,08/08/2022,16:58:05,ended
jAa58N4Jlos,"unknown,",-1,0,2paug8,08/08/2022,16:58:13,unstarted
jAa58N4Jlos,"unknown,",3,0,2paug8,08/08/2022,16:58:13,buffering
jAa58N4Jlos,"hd2160,",-1,0,2paug8,08/08/2022,16:58:13,unstarted
jAa58N4Jlos,"hd2160,",1,0.007033949,2paug8,08/08/2022,16:58:15,playing
jAa58N4Jlos,"hd2160,",0,217.621,2paug8,08/08/2022,17:01:53,ended
9jrP7460a4o,"unknown,",3,0,p9aug,09/08/2022,10:10:52,buffering
9jrP7460a4o,"unknown,",-1,0,p9aug,09/08/2022,10:10:52,unstarted
9jrP7460a4o,"hd2160,",1,0.036735053,p9aug,09/08/2022,10:10:55,playing
9ZfN87gSjvI,"unknown,",-1,0,2p9aug,09/08/2022,10:32:48,unstarted
9ZfN87gSjvI,"unknown,",3,0,2p9aug,09/08/2022,10:32:48,buffering
9ZfN87gSjvI,"hd2160,",1,0.082588046,2p9aug,09/08/2022,10:32:51,playing
9ZfN87gSjvI,"hd2160,",0,257.241,2p9aug,09/08/2022,10:37:09,ended
Baur2Ypgd60,"unknown,",3,0,i9aug,09/08/2022,18:29:34,buffering
Baur2Ypgd60,"unknown,",-1,0,i9aug,09/08/2022,18:29:34,unstarted
Baur2Ypgd60,"hd2160,",1,0.007889876,i9aug,09/08/2022,18:29:37,playing
Baur2Ypgd60,"hd2160,",0,204.830104,i9aug,09/08/2022,18:33:02,ended
Baur2Ypgd60,"unknown,",-1,0,3p9aug,09/08/2022,19:06:40,unstarted
Baur2Ypgd60,"unknown,",3,0,3p9aug,09/08/2022,19:06:40,buffering
Baur2Ypgd60,"hd1440,",-1,0,3p9aug,09/08/2022,19:06:41,unstarted
Baur2Ypgd60,"hd2160,",1,0.009000063,3p9aug,09/08/2022,19:06:46,playing
Baur2Ypgd60,"hd2160,",0,204.941,3p9aug,09/08/2022,19:10:11,ended
jAa58N4Jlos,"unknown,",-1,0,m9aug,09/08/2022,19:11:35,unstarted
jAa58N4Jlos,"unknown,",3,0,m9aug,09/08/2022,19:11:35,buffering
jAa58N4Jlos,"hd2160,",1,0.063426025,m9aug,09/08/2022,19:11:36,playing
jAa58N4Jlos,"hd2160,",3,216.318326,m9aug,09/08/2022,19:15:15,buffering
9jrP7460a4o,"unknown,",-1,0,i10aug,10/08/2022,11:41:32,unstarted
9jrP7460a4o,"unknown,",3,0,i10aug,10/08/2022,11:41:32,buffering
9jrP7460a4o,"hd2160,",1,0.079092118,i10aug,10/08/2022,11:41:34,playing
9jrP7460a4o,"hd2160,",2,7.643575,i10aug,10/08/2022,11:41:41,paused
9jrP7460a4o,"hd2160,",1,7.662615053,i10aug,10/08/2022,11:41:49,playing
9jrP7460a4o,"hd2160,",0,302.181,i10aug,10/08/2022,11:46:45,ended
Baur2Ypgd60,"unknown,",-1,0,c10aug,10/08/2022,13:21:11,unstarted
Baur2Ypgd60,"unknown,",3,0,c10aug,10/08/2022,13:21:11,buffering
Baur2Ypgd60,"hd2160,",1,0.016072876,c10aug,10/08/2022,13:21:13,playing
Baur2Ypgd60,"unknown,",-1,0,p11aug,11/08/2022,16:28:52,unstarted
Baur2Ypgd60,"unknown,",3,0,p11aug,11/08/2022,16:28:52,buffering
Baur2Ypgd60,"hd2160,",1,0.017665928,p11aug,11/08/2022,16:28:54,playing
Baur2Ypgd60,"hd2160,",0,204.941,p11aug,11/08/2022,16:32:19,ended
jAa58N4Jlos,"unknown,",3,0,p11aug,11/08/2022,16:32:30,buffering
jAa58N4Jlos,"unknown,",-1,0,p11aug,11/08/2022,16:32:30,unstarted
jAa58N4Jlos,"hd2160,",-1,0,p11aug,11/08/2022,16:32:31,unstarted
jAa58N4Jlos,"hd2160,",3,0.014455,p11aug,11/08/2022,16:32:32,buffering
jAa58N4Jlos,"hd2160,",1,0.13694199,p11aug,11/08/2022,16:32:33,playing
jAa58N4Jlos,"hd2160,",0,217.344,p11aug,11/08/2022,16:36:10,ended
9jrP7460a4o,"unknown,",-1,0,a11aug,11/08/2022,16:37:14,unstarted
9jrP7460a4o,"unknown,",3,0,a11aug,11/08/2022,16:37:14,buffering
9jrP7460a4o,"hd2160,",1,0.037307887,a11aug,11/08/2022,16:37:16,playing
9jrP7460a4o,"hd2160,",0,302.181,a11aug,11/08/2022,16:42:19,ended
Baur2Ypgd60,"unknown,",-1,0,m11aug,11/08/2022,16:54:26,unstarted
Baur2Ypgd60,"unknown,",3,0,m11aug,11/08/2022,16:54:26,buffering
Baur2Ypgd60,"hd2160,",1,0.040251981,m11aug,11/08/2022,16:54:28,playing
Baur2Ypgd60,"hd2160,",3,103.859146,m11aug,11/08/2022,16:56:12,buffering
Baur2Ypgd60,"hd1080,",1,104.1225219,m11aug,11/08/2022,16:56:21,playing
Baur2Ypgd60,"hd2160,",0,204.941,m11aug,11/08/2022,16:58:02,ended
jAa58N4Jlos,"unknown,",-1,0,m11aug,11/08/2022,16:58:07,unstarted
jAa58N4Jlos,"unknown,",3,0,m11aug,11/08/2022,16:58:07,buffering
jAa58N4Jlos,"hd2160,",-1,0,m11aug,11/08/2022,16:58:07,unstarted
jAa58N4Jlos,"hd2160,",1,0.019294855,m11aug,11/08/2022,16:58:11,playing
jAa58N4Jlos,"hd2160,",0,217.621,m11aug,11/08/2022,17:01:48,ended
JMbBjKnUoC4,"unknown,",-1,0,2m11aug,11/08/2022,17:03:20,unstarted
JMbBjKnUoC4,"unknown,",3,0,2m11aug,11/08/2022,17:03:20,buffering
JMbBjKnUoC4,"hd2160,",1,0.16775996,2m11aug,11/08/2022,17:03:22,playing
JMbBjKnUoC4,"hd2160,",0,390.601,2m11aug,11/08/2022,17:09:52,ended
jAa58N4Jlos,"unknown,",-1,0,2m11aug,11/08/2022,17:10:11,unstarted
jAa58N4Jlos,"unknown,",3,0,2m11aug,11/08/2022,17:10:11,buffering
jAa58N4Jlos,"hd1440,",-1,0,2m11aug,11/08/2022,17:10:11,unstarted
jAa58N4Jlos,"hd2160,",3,0.010934,2m11aug,11/08/2022,17:10:23,buffering
jAa58N4Jlos,"hd2160,",1,0.062254889,2m11aug,11/08/2022,17:10:23,playing
jAa58N4Jlos,"hd2160,",0,217.621,2m11aug,11/08/2022,17:14:00,ended
JMbBjKnUoC4,"unknown,",-1,0,m12aug,12/08/2022,14:39:38,unstarted
JMbBjKnUoC4,"unknown,",3,0,m12aug,12/08/2022,14:39:38,buffering
JMbBjKnUoC4,"hd2160,",1,0.050833013,m12aug,12/08/2022,14:39:39,playing
jAa58N4Jlos,"unknown,",-1,0,p13aug,13/08/2022,11:36:56,unstarted
jAa58N4Jlos,"unknown,",3,0,p13aug,13/08/2022,11:36:56,buffering
jAa58N4Jlos,"hd2160,",1,0.038398156,p13aug,13/08/2022,11:36:58,playing
jAa58N4Jlos,"hd2160,",0,217.621,p13aug,13/08/2022,11:40:36,ended
9ZfN87gSjvI,"unknown,",-1,0,p13aug,13/08/2022,11:40:41,unstarted
9ZfN87gSjvI,"unknown,",3,0,p13aug,13/08/2022,11:40:41,buffering
9ZfN87gSjvI,"hd2160,",-1,0,p13aug,13/08/2022,11:40:41,unstarted
9ZfN87gSjvI,"hd2160,",1,0.033692114,p13aug,13/08/2022,11:40:43,playing
9ZfN87gSjvI,"hd2160,",0,257.241,p13aug,13/08/2022,11:45:00,ended
9jrP7460a4o,"unknown,",-1,0,p13aug,13/08/2022,11:45:15,unstarted
9jrP7460a4o,"unknown,",3,0,p13aug,13/08/2022,11:45:15,buffering
9jrP7460a4o,"hd2160,",-1,0,p13aug,13/08/2022,11:45:15,unstarted
9jrP7460a4o,"hd2160,",1,0.029691189,p13aug,13/08/2022,11:45:18,playing
9jrP7460a4o,"unknown,",3,0,14augs,14/08/2022,17:25:39,buffering
9jrP7460a4o,"unknown,",-1,0,14augs,14/08/2022,17:25:39,unstarted
9jrP7460a4o,"hd2160,",1,0.060263095,14augs,14/08/2022,17:25:41,playing
9jrP7460a4o,"unknown,",-1,0,p15aug,15/08/2022,13:45:36,unstarted
9jrP7460a4o,"unknown,",3,0,p15aug,15/08/2022,13:45:36,buffering
9jrP7460a4o,"hd2160,",1,0.064080918,p15aug,15/08/2022,13:45:38,playing
9jrP7460a4o,"hd2160,",0,302.181,p15aug,15/08/2022,13:50:41,ended
9ZfN87gSjvI,"unknown,",-1,0,p15aug,15/08/2022,13:50:45,unstarted
9ZfN87gSjvI,"unknown,",3,0,p15aug,15/08/2022,13:50:45,buffering
9ZfN87gSjvI,"hd2160,",-1,0,p15aug,15/08/2022,13:50:46,unstarted
9ZfN87gSjvI,"hd2160,",1,0.051481969,p15aug,15/08/2022,13:50:47,playing
9ZfN87gSjvI,"hd2160,",0,257.241,p15aug,15/08/2022,13:55:05,ended
Baur2Ypgd60,"unknown,",-1,0,i15aug,15/08/2022,14:04:39,unstarted
Baur2Ypgd60,"unknown,",3,0,i15aug,15/08/2022,14:04:39,buffering
Baur2Ypgd60,"hd2160,",1,0.034320939,i15aug,15/08/2022,14:04:41,playing
Baur2Ypgd60,"hd2160,",0,204.941,i15aug,15/08/2022,14:08:07,ended
9jrP7460a4o,"unknown,",3,0,m16aug,16/08/2022,9:53:14,buffering
9jrP7460a4o,"unknown,",-1,0,m16aug,16/08/2022,9:53:14,unstarted
9jrP7460a4o,"hd2160,",1,0.181883992,m16aug,16/08/2022,9:53:18,playing
9jrP7460a4o,"hd2160,",3,71.333387,m16aug,16/08/2022,9:54:29,buffering
9jrP7460a4o,"hd2160,",1,71.35834095,m16aug,16/08/2022,9:54:40,playing
9jrP7460a4o,"hd2160,",0,302.181,m16aug,16/08/2022,9:58:32,ended
9ZfN87gSjvI,"unknown,",3,0,2m16aug,16/08/2022,10:16:22,buffering
9ZfN87gSjvI,"unknown,",-1,0,2m16aug,16/08/2022,10:16:22,unstarted
9ZfN87gSjvI,"hd2160,",1,0.041402084,2m16aug,16/08/2022,10:16:23,playing
9ZfN87gSjvI,"hd2160,",0,257.241,2m16aug,16/08/2022,10:20:41,ended
JMbBjKnUoC4,"unknown,",3,0,3m16aug,16/08/2022,10:22:10,buffering
JMbBjKnUoC4,"unknown,",-1,0,3m16aug,16/08/2022,10:22:10,unstarted
JMbBjKnUoC4,"hd2160,",1,0.045371116,3m16aug,16/08/2022,10:22:11,playing
9ZfN87gSjvI,"unknown,",-1,0,a16aug,16/08/2022,10:34:05,unstarted
9ZfN87gSjvI,"unknown,",3,0,a16aug,16/08/2022,10:34:05,buffering
9ZfN87gSjvI,"hd2160,",1,0.064539994,a16aug,16/08/2022,10:34:06,playing
9ZfN87gSjvI,"hd2160,",0,257.241,a16aug,16/08/2022,10:38:24,ended
Baur2Ypgd60,"unknown,",-1,0,4m16aug,16/08/2022,10:55:41,unstarted
Baur2Ypgd60,"unknown,",3,0,4m16aug,16/08/2022,10:55:41,buffering
Baur2Ypgd60,"hd2160,",1,0.022335135,4m16aug,16/08/2022,10:55:42,playing
Baur2Ypgd60,"hd2160,",0,204.941,4m16aug,16/08/2022,10:59:08,ended
9jrP7460a4o,"unknown,",-1,0,p16aug,16/08/2022,11:03:54,unstarted
9jrP7460a4o,"unknown,",3,0,p16aug,16/08/2022,11:03:54,buffering
9jrP7460a4o,"hd2160,",-1,0,p16aug,16/08/2022,11:03:55,unstarted
9jrP7460a4o,"hd2160,",1,0.026324918,p16aug,16/08/2022,11:04:03,playing
9jrP7460a4o,"hd2160,",2,219.783953,p16aug,16/08/2022,11:07:43,paused
9jrP7460a4o,"hd2160,",1,220.074612,p16aug,16/08/2022,11:07:45,playing
9jrP7460a4o,"hd2160,",0,302.181,p16aug,16/08/2022,11:09:07,ended
9jrP7460a4o,"unknown,",-1,0,p19aug,19/08/2022,15:34:56,unstarted
9jrP7460a4o,"unknown,",3,0,p19aug,19/08/2022,15:34:56,buffering
9jrP7460a4o,"hd2160,",1,0.061162994,p19aug,19/08/2022,15:34:57,playing
9jrP7460a4o,"hd2160,",2,232.097126,p19aug,19/08/2022,15:38:50,paused
9jrP7460a4o,"hd2160,",1,232.1191961,p19aug,19/08/2022,15:47:52,playing
9jrP7460a4o,"hd2160,",3,238.987863,p19aug,19/08/2022,15:48:01,buffering
9ZfN87gSjvI,"unknown,",3,0,2p19aug,19/08/2022,15:49:16,buffering
9ZfN87gSjvI,"unknown,",-1,0,2p19aug,19/08/2022,15:49:16,unstarted
9ZfN87gSjvI,"hd2160,",1,0.033202032,2p19aug,19/08/2022,15:49:18,playing
9ZfN87gSjvI,"hd2160,",0,257.241,2p19aug,19/08/2022,15:53:35,ended
jAa58N4Jlos,"unknown,",-1,0,m19aug,19/08/2022,15:58:40,unstarted
jAa58N4Jlos,"unknown,",3,0,m19aug,19/08/2022,15:58:40,buffering
jAa58N4Jlos,"hd2160,",1,0.10925404,m19aug,19/08/2022,15:58:41,playing
jAa58N4Jlos,"hd2160,",0,217.621,m19aug,19/08/2022,16:02:19,ended
9jrP7460a4o,"unknown,",-1,0,2a19aug,19/08/2022,16:03:52,unstarted
9jrP7460a4o,"unknown,",3,0,2a19aug,19/08/2022,16:03:52,buffering
