Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,EVENT,SecondCell_RSRQ,Eid
3061.0,3G,HSPA+,484.0,193.0,193.0,16.0,N,D,499.0,1000.0,4Mns15
3061.0,3G,HSPA+,484.0,193.0,193.0,16.0,N,D,499.0,1000.0,4Mns15
3061.0,3G,HSPA+,484.0,193.0,193.0,16.0,N,I,499.0,1000.0,4Mns15
3061.0,3G,HSPA+,484.0,193.0,193.0,16.0,N,I,499.0,1000.0,4Mns15
613.0,3G,HSPA+,484.0,193.0,193.0,19.0,N,D,499.0,1000.0,4Mns15
613.0,3G,HSPA+,484.0,193.0,193.0,19.0,N,D,499.0,1000.0,4Mns15
613.0,3G,HSPA+,382.0,193.0,193.0,19.0,N,I,499.0,1000.0,4Mns15
613.0,3G,HSPA+,382.0,193.0,193.0,19.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,19.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,70.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,70.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,70.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,70.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,70.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,I,499.0,1000.0,4Mns15
613.0,4G,LTE,260.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
